siRNA,Replicate,NELFB,HA,IFNB1,IFNL1,L32
NTC,1,22.86583731,19.14659037,25.07474576,23.23175918,21.28806402
NTC,1,22.86789313,19.02622038,24.98819814,23.03075671,21.30684751
NTC,2,22.61120488,18.27938417,24.29465777,22.68264774,21.26073527
NTC,2,22.60820915,18.28258476,24.24321934,22.66158804,21.38825293
NELFB-1,1,27.25456895,14.91281884,19.26521356,18.04080992,21.28488012
NELFB-1,1,27.24556249,14.2462361,19.23567771,17.90372946,21.35810843
NELFB-1,2,26.83909319,14.00027961,18.93430011,17.64037869,21.36566087
NELFB-1,2,27.09870318,13.75387719,19.04612434,17.53752909,21.32816031
NELFB-2,1,27.15870174,15.24164428,19.8336954,19.02255418,21.25835696
NELFB-2,1,27.07385619,15.14853835,19.77127705,18.90386517,21.31289977
NELFB-2,2,27.3270437,15.57754255,20.15095472,19.33607769,21.38577333
NELFB-2,2,27.11353983,15.45381614,20.09646401,19.19836655,21.36588625
none,1,22.53816201,17.74541316,23.15755428,21.34026657,21.32363513
none,1,22.54776507,17.50215714,22.87267659,21.26641171,21.20958972
none,2,22.63579525,18.4298835,24.15815841,22.36373758,21.22155749
none,2,22.66627371,18.55218444,24.18223882,22.33669673,21.25265094
