CHX,Baloxavir,Replicate,IFNB1,HA,L32
No,No,1,23.97413229,14.08957555,21.86301235
No,No,1,24.15602348,14.15660587,21.66101327
No,No,2,24.01447471,14.74650459,21.74552432
No,No,2,24.16051097,14.37097046,21.86956321
No,No,3,23.83707116,14.2820701,22.25586357
No,No,3,23.82646013,13.7997446,22.04402746
Yes,No,1,19.89310649,19.08049809,20.81658956
Yes,No,1,19.81426768,19.20321738,20.82070431
Yes,No,2,20.31030423,19.62567788,21.01532832
Yes,No,2,20.32764329,19.65737483,20.82742119
Yes,No,3,19.27065961,19.19107881,20.98151338
Yes,No,3,19.37164899,18.70346405,20.69578068
No,Yes,1,29.11912589,22.25834586,21.68197665
No,Yes,1,29.22372262,22.25043397,21.74376181
No,Yes,2,29.03313068,22.26908796,21.88724542
No,Yes,2,29.13694258,22.44628032,21.80788152
No,Yes,3,32.50293771,34.19017539,21.77651782
No,Yes,3,33.30967165,35.74071462,21.79601139
Yes,Yes,1,23.02203687,21.43704697,21.01647669
Yes,Yes,1,23.01096201,21.38157255,21.03198058
Yes,Yes,2,22.584281,21.57983884,21.01738517
Yes,Yes,2,22.6315741,21.55651651,21.02505001
Yes,Yes,3,22.35157507,21.47736421,20.94522131
Yes,Yes,3,22.44776165,21.50507975,20.92433357
