siRNA,Replicate,Sup_HA,Sup_PA,Cells_NELFB,Cells_HA,Cells_PA,Cells_IFNB1,Cells_L32
NTC,1,20.33670912,21.54647593,26.69718592,11.18054005,9.179734886,24.98990687,23.96490601
NTC,1,20.40894049,21.63062792,26.68718714,11.18284244,9.127906189,25.27722902,23.95159976
NTC,2,19.68373545,21.17980337,26.39384602,11.65936263,9.649001151,25.38574511,24.08847762
NTC,2,19.68633347,21.3045755,26.24415404,11.68075754,9.607488952,25.48121214,24.06970807
NTC,3,21.16973272,22.6066897,25.20063683,12.26215802,10.19899539,25.12657807,23.39040717
NTC,3,21.25632572,22.8193333,25.23021257,12.17989975,10.18350025,25.09999113,23.35441337
NELFB,1,21.41946015,22.721343,29.48264117,12.37821024,9.705187229,24.32577177,24.37997688
NELFB,1,21.42787125,22.74180773,29.63860203,12.2965296,9.422691561,24.19861846,24.29491552
NELFB,2,20.95285222,22.40360716,29.8155336,11.98797347,9.311056378,24.98030633,24.43529109
NELFB,2,20.99666763,22.47119936,29.70394809,12.0879981,9.247564574,24.78901612,24.57713116
NELFB,3,21.72102368,22.50917101,29.4650214,12.50881929,9.856388036,24.42592085,24.18581788
NELFB,3,21.59414918,22.61249046,29.63395497,12.57242767,9.866282841,24.45455612,24.18506393
