siRNA,construct,L32,IFNB1,HA,NELFB,NELFBopt
siNTC,none,20.26249173,20.66008059,13.77996742,22.60078232,0
siNTC,none,20.17638641,20.88633348,13.77629139,22.87484507,0
siNTC,none,20.9395614,21.57079822,13.93996681,25.43701449,0
siNELFB,none,20.80716481,17.05328992,12.20634798,26.68538446,0
siNELFB,none,20.63060072,16.93703728,12.17636147,26.44904916,0
siNELFB,none,21.01821037,18.21363686,12.47395364,27.60945913,0
,GFP,20.46267292,20.26546672,14.00346927,23.63825562,
,GFP,20.80891562,21.24890435,14.31673282,23.91249482,
,GFP,20.74354242,20.74694762,14.80257867,23.30760291,
,GFP,21.11975684,17.27684521,12.945062,27.09507213,
,GFP,21.60806185,19.11445747,13.77505108,29.23681287,
,GFP,21.03913278,17.59874241,12.94237991,27.35221121,
siNTC,NELFB,20.41508123,20.01358008,14.30171086,22.72958303,17.18025774
siNTC,NELFB,20.23877642,20.22859634,13.9228463,23.20580213,17.25602737
siNTC,NELFB,20.57513563,20.89633765,14.26626041,23.81844723,17.73519737
siNELFB,NELFB,20.74374275,18.33701746,13.46780348,26.36815927,16.29472026
siNELFB,NELFB,20.61124212,17.98965037,13.08540942,26.46646577,16.19200597
siNELFB,NELFB,21.07381091,18.78858975,13.49045936,26.93901306,16.93269578
