baloxavir,DVG,siRNA,IFNB1_L32,HA_L32,NELFB_L32
no,high,NTC,0.193915494,1.979912601,0.087835223
no,high,NTC,0.07678859,1.238865726,0.037368711
no,high,NTC,0.173712981,2.053080589,0.077652452
no,high,NELFB,0.599428417,6.515576723,0.002355316
no,high,NELFB,0.451675528,6.3213117,0.00122732
no,high,NELFB,0.794874074,8.52642695,0.001737492
no,low,NTC,0.00463756,1.139697705,0.021320717
no,low,NTC,0.006917483,1.677317609,0.022432424
no,low,NTC,0.005080431,1.105858963,0.046194705
no,low,NELFB,0.033100758,6.089531938,0.00181983
no,low,NELFB,0.040550358,5.76037989,0.001853251
no,low,NELFB,0.015576854,4.706600267,0.000681099
yes,high,NTC,0.008208872,0.140254235,0.028432981
yes,high,NTC,0.008437256,0.14192666,0.042749482
yes,high,NTC,0.010524754,0.125383184,0.036401578
yes,high,NELFB,0.021154248,0.29528686,0.00202009
yes,high,NELFB,0.020489959,0.279884194,0.002110062
yes,high,NELFB,0.015784173,0.346463396,0.000770397
yes,low,NTC,0.008324828,0.431531413,0.019992849
yes,low,NTC,0.006003218,0.20463155,0.008931601
yes,low,NTC,0.009524995,0.400471334,0.045809754
yes,low,NELFB,0.015065288,0.938545934,0.002398045
yes,low,NELFB,0.022852356,0.92326984,0.001823312
yes,low,NELFB,0.003313892,0.199258345,0.001117632
