gene	UMI
1/2-SBSRNA4	40
61E3.4	47
A1BG	437
A1BG-AS1	107
A1CF	6
A2LD1	165
A4GALT	269
AAAS	2244
AACS	594
AACSP1	2
AADAC	123
AADAT	124
AAGAB	2354
AAK1	952
AAMP	2908
AANAT	7
AARS	3483
AARS2	207
AARSD1	3929
AASDH	324
AASDHPPT	1238
AASS	1
AATF	5707
AATK	8
ABAT	2
ABCA1	38
ABCA10	9
ABCA11P	53
ABCA12	16
ABCA17P	6
ABCA2	162
ABCA3	189
ABCA4	3
ABCA5	119
ABCA6	1
ABCA7	136
ABCA9	2
ABCB1	2
ABCB10	274
ABCB4	3
ABCB5	2
ABCB6	1155
ABCB7	526
ABCB8	710
ABCB9	66
ABCC1	1122
ABCC10	63
ABCC2	2691
ABCC3	2428
ABCC4	1079
ABCC5	135
ABCC6	15
ABCC6P1	1
ABCC6P2	16
ABCC8	12
ABCC9	2
ABCD1	38
ABCD3	1149
ABCD4	380
ABCE1	2282
ABCF1	3065
ABCF2	2110
ABCF3	680
ABCG1	13
ABCG2	1113
ABCG4	2
ABHD1	76
ABHD10	639
ABHD11	1221
ABHD11-AS1	35
ABHD12	3082
ABHD13	278
ABHD14A	687
ABHD14B	986
ABHD15	349
ABHD16A	434
ABHD16B	1
ABHD2	1050
ABHD3	188
ABHD4	417
ABHD5	586
ABHD6	166
ABHD8	182
ABI1	735
ABI2	1583
ABI3	1
ABI3BP	3
ABL1	495
ABL2	856
ABLIM1	967
ABLIM2	7
ABLIM3	100
ABR	789
ABRA	1
ABT1	849
ABTB1	304
ABTB2	264
ACAA1	2356
ACAA2	2482
ACACA	970
ACACB	122
ACAD10	167
ACAD11	2
ACAD8	99
ACAD9	718
ACADM	828
ACADS	708
ACADSB	294
ACADVL	5360
ACAN	1
ACAP1	32
ACAP2	553
ACAP3	206
ACAT1	2618
ACAT2	4812
ACBD3	1402
ACBD4	365
ACBD5	842
ACBD6	3356
ACBD7	27
ACCN1	13
ASIC1	79
ACCN3	49
