id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SHFM1	9	1.1065e-15	4.9781e-06	0.00011	1	9	-0.96327	1.0	1.0	1.0	216	0	-0.96327
SMARCB1	9	5.3555e-12	4.9781e-06	0.00011	2	9	-0.64656	1.0	1.0	1.0	215	0	-0.64656
ATP6AP1	9	3.3243e-11	4.9781e-06	0.00011	3	9	-1.0349	1.0	1.0	1.0	214	0	-1.0349
NXF1	9	6.222e-11	4.9781e-06	0.00011	4	9	-0.82636	1.0	1.0	1.0	213	0	-0.82636
GNB2L1	9	2.1099e-08	4.9781e-06	0.00011	5	9	-0.7921	1.0	1.0	1.0	211	0	-0.7921
NXT1	9	1.0819e-07	4.9781e-06	0.00011	6	6	-0.51678	0.94097	0.91592	1.0	192	2	-0.51678
CYP4F2	9	1.1839e-07	4.9781e-06	0.00011	7	4	-0.054907	0.81764	0.79713	1.0	174	2	-0.054907
ASNA1	9	2.1218e-07	4.9781e-06	0.00011	8	7	-0.4868	0.94698	0.92354	1.0	193	2	-0.4868
GLE1	9	7.0765e-07	4.9781e-06	0.00011	9	9	-0.42754	1.0	1.0	1.0	212	0	-0.42754
COG4	9	2.117e-06	4.9781e-06	0.00011	10	6	-0.50702	0.99917	0.99898	1.0	207	0	-0.50702
GPN3	9	5.0848e-06	4.9781e-06	0.00011	11	8	-0.59886	0.99994	0.99998	1.0	209	0	-0.59886
NUPL2	9	1.1537e-05	4.9781e-06	0.00011	12	8	-0.49732	0.99996	1.0	1.0	210	0	-0.49732
CHST13	9	1.4121e-05	4.9781e-06	0.00011	13	6	-0.18284	0.882	0.86618	1.0	181	1	-0.18284
RAB6A	9	1.8398e-05	4.9781e-06	0.00011	14	7	-0.51653	0.96505	0.94981	1.0	196	1	-0.51653
LSM7	9	8.5274e-05	1.4934e-05	0.000309	15	8	-0.22279	0.91819	0.89761	1.0	187	1	-0.22279
IRF3	9	0.00017143	7.4671e-05	0.001447	16	6	-0.23987	0.71614	0.6891	1.0	160	3	-0.23987
TM7SF2	9	0.00020311	9.4584e-05	0.001725	17	6	-0.078682	0.98059	0.96134	1.0	197	1	-0.078682
SRSF10	9	0.00041472	0.00026384	0.004544	18	7	-0.27652	0.99954	0.9997	1.0	208	0	-0.27652
HOOK3	9	0.00049687	0.00033353	0.005442	19	7	-0.25868	0.41231	0.34872	0.991774	109	2	-0.25868
RDH14	9	0.0010349	0.00053266	0.008256	20	7	-0.12735	0.95201	0.9345	1.0	194	1	-0.12735
MCMBP	9	0.0014553	0.00075169	0.011096	21	7	-0.14596	0.70107	0.68145	1.0	156	2	-0.14596
VPS33A	9	0.001792	0.0010404	0.01466	22	5	-0.057985	0.90659	0.88373	1.0	185	1	-0.057985
MFN1	9	0.0018407	0.0011201	0.015097	23	7	-0.15003	0.99906	0.99852	1.0	206	0	-0.15003
PIGT	9	0.0048229	0.0041368	0.053434	24	6	-0.14704	0.997	0.98926	1.0	204	0	-0.14704
EIF3D	9	0.0054513	0.0048238	0.05539	25	6	-0.1634	0.94096	0.91592	1.0	191	2	-0.1634
