id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
OR6C65	16	2.0144e-06	0.00015946	0.812753	1	15	-6.3665	0.99853	0.99963	1.0	20621	1	-6.3665
SECTM1	16	3.6681e-06	0.00025281	0.812753	2	10	-4.0464	0.99564	0.99938	1.0	20585	1	-4.0464
HEY1	18	4.0357e-06	0.00031641	0.812753	3	11	-6.537	0.87589	0.98605	1.0	19814	3	-6.537
HOXB2	18	5.9856e-06	0.00046055	0.812753	4	7	-0.076141	0.30512	0.70564	1.0	12753	5	-0.076141
GLDN	17	6.2624e-06	0.00043813	0.812753	5	11	-6.0225	0.93107	0.99253	1.0	20168	3	-6.0225
MFSD4	18	7.4031e-06	0.00055801	0.812753	6	11	-3.7803	0.98188	0.99835	1.0	20483	3	-3.7803
EXOC3L4	18	7.4883e-06	0.00055801	0.812753	7	6	0.027537	0.49511	0.85926	1.0	16048	6	0.027537
H1F0	17	9.0582e-06	0.00059553	0.812753	8	14	-6.5548	0.25198	0.64141	1.0	11567	3	-6.5548
CADM2	17	9.6549e-06	0.00063168	0.812753	9	8	0.19038	0.063063	0.28566	1.0	5000	5	0.19038
FGF22	18	1.2183e-05	0.00075431	0.812753	10	9	-2.4837	0.75717	0.96329	1.0	18921	6	-2.4837
SUSD1	14	1.243e-05	0.00075523	0.812753	11	11	-6.3452	0.7305	0.94338	1.0	18697	2	-6.3452
FAHD2A	17	1.2771e-05	0.00074241	0.812753	12	13	-6.276	0.59009	0.90416	1.0	17275	3	-6.276
EHMT1	18	2.003e-05	0.0010485	0.812753	13	10	-3.6383	0.52919	0.88142	1.0	16502	6	-3.6383
ZNF76	18	2.0205e-05	0.0010499	0.812753	14	14	-6.2814	0.83502	0.97832	1.0	19519	1	-6.2814
STK17B	13	2.2865e-05	0.0011698	0.812753	15	11	-6.1087	0.99822	0.99911	1.0	20619	1	-6.1087
PLIN3	18	2.349e-05	0.0013794	0.812753	16	8	0.00040909	0.1697	0.5276	1.0	9295	8	0.00040909
PIH1D1	17	2.4845e-05	0.0013309	0.812753	17	11	-6.0165	0.98179	0.99811	1.0	20482	3	-6.0165
HPRT1	17	2.9088e-05	0.001426	0.812753	18	13	-6.1087	0.21638	0.59238	1.0	10633	2	-6.1087
ZNF185	18	3.0203e-05	0.0015633	0.812753	19	8	-0.38862	0.95203	0.9957	1.0	20302	3	-0.38862
GNB2L1	12	3.2277e-05	0.001194	0.812753	20	11	-6.0312	0.78162	0.94949	1.0	19109	1	-6.0312
ASIC1	17	3.4977e-05	0.001691	0.812753	21	9	-1.6966	0.095983	0.37415	1.0	6589	4	-1.6966
NHLRC1	18	3.8307e-05	0.001944	0.812753	22	11	-0.71389	0.40689	0.80772	1.0	14700	6	-0.71389
ZNF662	17	3.8326e-05	0.0019774	0.812753	23	9	-6.6105	0.73785	0.95535	1.0	18773	5	-6.6105
PCDHGC4	6	3.8348e-05	0.00076072	0.812753	24	4	-6.445	0.49231	0.73074	1.0	16001	2	-6.445
SMARCB1	16	4.1191e-05	0.0018433	0.812753	25	13	-5.8976	0.5899	0.90161	1.0	17268	2	-5.8976
CALCOCO1	17	4.1674e-05	0.0019989	0.812753	26	12	-6.6362	0.47843	0.84651	1.0	15801	4	-6.6362
NXF1	12	4.4751e-05	0.0014549	0.812753	27	11	-5.9822	0.99741	0.99874	1.0	20608	0	-5.9822
ZNF311	16	4.8509e-05	0.0019449	0.812753	28	11	-5.7747	0.37392	0.76581	1.0	14107	3	-5.7747
LOC401052	17	4.9055e-05	0.0020826	0.812753	29	10	-0.79464	0.34753	0.75093	1.0	13630	6	-0.79464
STX18	13	6.2995e-05	0.0020799	0.812753	30	11	-5.3421	0.090963	0.33918	1.0	6358	2	-5.3421
IRF3	16	6.6865e-05	0.002618	0.812753	31	14	-3.1817	0.13147	0.45191	1.0	8015	2	-3.1817
NTSR1	18	6.7716e-05	0.0029086	0.812753	32	10	-4.0019	0.64799	0.93117	1.0	17873	5	-4.0019
TM7SF2	13	7.1433e-05	0.0021659	0.812753	33	11	-5.8168	0.99741	0.99886	1.0	20609	1	-5.8168
STC2	18	7.3643e-05	0.0029484	0.812753	34	6	0.032627	0.20949	0.5938	1.0	10456	7	0.032627
LPAR2	17	7.5593e-05	0.0030289	0.812753	35	13	-5.1994	0.93623	0.99335	1.0	20200	2	-5.1994
CCT8	11	7.5973e-05	0.0020355	0.812753	36	10	-6.1294	0.85729	0.96571	1.0	19698	1	-6.1294
