sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibA_31675_r0	NELFB	1.7253e+05	6.826e+05	1.7253e+05	6.826e+05	1.9842	1.3009e+11	6.2824e+07	64.354	1	0	0	0	True
HGLibA_31675_r2	NELFB	1.0925e+05	4.2114e+05	1.0925e+05	4.2114e+05	1.9466	4.8636e+10	3.1841e+07	55.271	1	0	0	0	True
HGLibB_31635_r0	NELFCD	1.2635e+05	4.5293e+05	1.2635e+05	4.5293e+05	1.8419	5.3329e+10	3.9526e+07	51.946	1	0	0	0	True
HGLibA_31675_r1	NELFB	66010	2.3759e+05	66010	2.3759e+05	1.8477	1.472e+10	1.5053e+07	44.225	1	0	0	0	True
HGLibB_31635_r2	NELFCD	70080	2.453e+05	70080	2.453e+05	1.8075	1.5352e+10	1.6453e+07	43.199	1	0	0	0	True
HGLibB_31633_r2	NELFCD	45887	1.7028e+05	45887	1.7028e+05	1.8917	7.7365e+09	8.7671e+06	42.011	1	0	0	0	True
HGLibA_31671_r0	NELFA	55723	1.9509e+05	55723	1.9509e+05	1.8078	9.7112e+09	1.1701e+07	40.742	1	0	0	0	True
HGLibA_31678_r0	NELFCD	1.5295e+05	4.4794e+05	1.5295e+05	4.4794e+05	1.5503	4.351e+10	5.2516e+07	40.706	1	0	0	0	True
HGLibB_31633_r1	NELFCD	43547	1.5869e+05	43547	1.5869e+05	1.8656	6.6293e+09	8.1109e+06	40.431	1	0	0	0	True
HGLibA_31671_r2	NELFA	44146	1.5904e+05	44146	1.5904e+05	1.849	6.6e+09	8.2773e+06	39.934	1	0	0	0	True
HGLibB_31633_r0	NELFCD	67344	2.1655e+05	67344	2.1655e+05	1.6851	1.1131e+10	1.5507e+07	37.89	1	1.8983e-314	3.7966e-314	7.6829e-312	True
HGLibA_31678_r2	NELFCD	1.0267e+05	2.9796e+05	1.0267e+05	2.9796e+05	1.5371	1.9069e+10	2.9032e+07	36.244	1	6.0872e-288	1.2174e-287	2.2583e-285	True
HGLibB_31635_r1	NELFCD	69400	2.1405e+05	69400	2.1405e+05	1.6249	1.0462e+10	1.6216e+07	35.922	1	7.0209e-283	1.4042e-282	2.4044e-280	True
HGLibA_31671_r1	NELFA	24982	91555	24982	91555	1.8737	2.2159e+09	3.5523e+06	35.321	1	1.3738e-273	2.7475e-273	4.3685e-271	True
HGLibB_31632_r2	NELFB	35945	1.1967e+05	35945	1.1967e+05	1.7351	3.5046e+09	6.0988e+06	33.901	1	3.2574e-252	6.5148e-252	9.6679e-250	True
HGLibB_31630_r0	NELFB	17991	66032	17991	66032	1.8758	1.1539e+09	2.1816e+06	32.525	1	2.3284e-232	4.6568e-232	6.4787e-230	True
