UID	gene_id	DNA_1	RNA_1	DNA_2	RNA_2	DNA_3	RNA_3
HGLibA_00187	ABCC9	100036	90609	70049	70065	58952	60818
HGLibA_00188	ABCC9	52551	39494	98691	100187	85320	78411
HGLibB_00187	ABCC9	24817	19669	54255	57336	20962	23482
HGLibA_01231	AGPAT6	39676	29633	64700	71982	87753	78863
HGLibA_01232	AGPAT6	94083	81782	101069	91619	96696	101130
HGLibB_01230	AGPAT6	119482	96745	68825	62801	66302	63141
HGLibA_01654	ALKBH4	113576	96810	90649	106656	115745	124772
HGLibA_01655	ALKBH4	192977	164588	62911	65668	73710	80237
HGLibB_01652	ALKBH4	29842	27088	49879	58637	50121	55440
HGLibA_01862	ANAPC1	5227	2912	42552	39464	15184	15280
HGLibB_01859	ANAPC1	13947	12157	42315	48279	23522	25828
HGLibB_01860	ANAPC1	75075	51407	111362	120254	75922	78107
HGLibA_01955	ANKFN1	152561	135144	237217	240536	198105	212187
HGLibB_01952	ANKFN1	56239	48013	78290	84579	66158	69296
HGLibB_01954	ANKFN1	33586	26644	76131	81688	38987	35377
HGLibA_02179	ANO4	5997	6308	42590	49645	23150	24708
HGLibA_02180	ANO4	54616	49365	97331	101373	66935	68749
HGLibA_02181	ANO4	19071	15522	37112	34517	16877	16583
HGLibA_02316	AP2S1	62654	50486	74562	84986	110534	114115
HGLibA_02317	AP2S1	18202	21830	31030	36246	19518	28790
HGLibB_02315	AP2S1	19827	22948	53544	74936	36518	43359
HGLibA_02466	APOBEC1	90533	76849	93788	97317	132962	127125
HGLibB_02464	APOBEC1	94074	80585	57954	62141	69067	66920
HGLibB_02465	APOBEC1	67973	44967	104242	93175	82143	68956
HGLibA_02845	ARHGEF3	152741	134433	57065	69732	43681	45722
HGLibA_02846	ARHGEF3	29713	26197	46652	53956	42856	32836
HGLibA_02847	ARHGEF3	48101	40556	76044	88228	24376	30439
HGLibA_03262	ASCC3	51203	41822	75039	83249	76385	81161
HGLibA_03264	ASCC3	36374	25485	84492	83023	50283	48098
HGLibB_03260	ASCC3	20092	16543	61162	62407	20372	17502
HGLibA_03331	ASNA1	19682	17752	17529	19699	12043	10099
HGLibA_03332	ASNA1	80614	35727	62607	39635	107269	54843
HGLibA_03333	ASNA1	89760	49064	70861	53761	72178	47631
HGLibA_03694	ATP6AP1	5434	2860	16207	8672	16820	11196
HGLibA_03695	ATP6AP1	37626	11466	24023	11541	25974	11722
HGLibB_03693	ATP6AP1	56294	22335	26927	9753	48352	23128
HGLibA_03783	ATP8B2	46903	40325	44259	54320	48617	52485
HGLibA_03784	ATP8B2	73341	71053	82269	107490	46278	44508
HGLibB_03781	ATP8B2	25104	24920	61723	67378	46726	53809
HGLibA_04065	BACH1	246883	209925	146211	153917	162309	152776
HGLibA_04066	BACH1	122444	108015	89271	87757	85510	81239
