id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AMOTL2	17	3.9249e-16	4.5654e-07	0.00275	1	14	-0.93611	0.64415	0.85903	1.0	16607	3	-0.93611
CSNK2B	18	3.3777e-12	1.1414e-06	0.00275	2	16	-1.6228	0.99846	0.99891	1.0	20558	1	-1.6228
CD28	18	8.1028e-12	1.1414e-06	0.00275	3	8	-0.12064	0.083284	0.23762	0.764033	6706	3	-0.12064
PLD2	18	1.1795e-11	1.1414e-06	0.00275	4	10	-0.19495	0.00098687	0.010219	0.22619	935	7	-0.19495
GPATCH2	18	1.2157e-10	1.1414e-06	0.00275	5	10	-0.29055	0.31599	0.61427	1.0	12185	4	-0.29055
NSFL1C	18	1.4236e-10	1.1414e-06	0.00275	6	9	-0.33749	0.53403	0.79799	1.0	15242	7	-0.33749
hsa-mir-1587	12	1.5899e-10	4.5654e-07	0.00275	7	11	-1.0275	0.97347	0.98266	1.0	20083	1	-1.0275
AHCY	18	1.908e-10	1.1414e-06	0.00275	8	11	-0.36989	0.9195	0.97645	1.0	19464	3	-0.36989
hsa-mir-6720	12	2.3157e-10	4.5654e-07	0.00275	9	7	-0.39678	0.25513	0.50062	1.0	11131	5	-0.39678
TPCN1	18	1.6482e-09	2.2827e-06	0.00495	10	15	-0.93247	0.96655	0.9899	1.0	20020	1	-0.93247
CAPN15	18	7.5507e-09	6.3916e-06	0.012186	11	14	-0.69266	0.71896	0.90162	1.0	17399	3	-0.69266
MAVS	18	8.8791e-09	7.3046e-06	0.012186	12	14	-1.2206	0.038232	0.13636	0.617424	4705	3	-1.2206
CKM	18	1.0373e-08	8.6743e-06	0.013437	13	7	-0.118	0.61023	0.84869	1.0	16211	5	-0.118
ATP6AP1	18	1.3193e-08	1.0957e-05	0.014851	14	17	-1.2732	1.0	1.0	1.0	20687	0	-1.2732
CDSN	18	1.3278e-08	1.0957e-05	0.014851	15	9	-0.13922	0.99637	0.99795	1.0	20472	2	-0.13922
AKT2	18	1.516e-08	1.187e-05	0.015143	16	6	0.22427	0.10915	0.29328	0.832715	7578	10	0.22427
GPR161	18	1.9438e-08	1.4153e-05	0.017052	17	8	-0.065061	0.94952	0.98434	1.0	19807	4	-0.065061
hsa-mir-499a	12	2.0312e-08	7.3046e-06	0.012186	18	11	-0.93675	1.0	0.99999	1.0	20683	0	-0.93675
D2HGDH	18	4.0121e-08	2.0773e-05	0.023574	19	8	-0.072981	0.57869	0.82828	1.0	15813	6	-0.072981
ST3GAL4	18	4.6191e-08	2.2827e-05	0.023574	20	15	-0.89381	0.97279	0.99126	1.0	20078	1	-0.89381
WRAP73	18	4.6542e-08	2.2827e-05	0.023574	21	13	-0.43321	0.99347	0.99702	1.0	20398	1	-0.43321
PXMP2	18	5.7695e-08	2.9219e-05	0.028412	22	9	-0.12644	0.39802	0.6932	1.0	13449	6	-0.12644
TENM3	18	6.6477e-08	3.4241e-05	0.030941	23	11	-0.37775	0.27215	0.56642	1.0	11424	6	-0.37775
KCNK17	18	8.2005e-08	4.2915e-05	0.03447	24	6	-0.040751	0.53363	0.79745	1.0	15230	7	-0.040751
hsa-mir-6751	12	8.41e-08	3.6295e-05	0.031485	25	12	-1.0639	1.0	1.0	1.0	20686	0	-1.0639
CIDEC	17	9.3637e-08	4.086e-05	0.034082	26	8	-0.30226	0.11274	0.29966	0.839396	7708	7	-0.30226
FTSJD2	18	9.4617e-08	4.7937e-05	0.037129	27	11	-0.75305	0.89383	0.96899	1.0	19226	4	-0.75305
hsa-mir-4525	11	1.0279e-07	3.0132e-05	0.028412	28	9	-0.9656	0.99923	0.99817	1.0	20590	0	-0.9656
PLIN5	18	1.1725e-07	6.7568e-05	0.047269	29	17	-0.56392	1.0	1.0	1.0	20688	0	-0.56392
BATF2	16	1.2934e-07	7.122e-05	0.047612	30	9	-0.55853	0.83619	0.94469	1.0	18577	4	-0.55853
KNCN	18	1.3409e-07	7.4644e-05	0.047612	31	11	-0.35586	0.27464	0.5684	1.0	11458	4	-0.35586
NUDT21	18	1.3467e-07	7.4644e-05	0.047612	32	15	-1.2527	0.99225	0.99676	1.0	20378	2	-1.2527
GUCA2A	15	1.3875e-07	5.3415e-05	0.039945	33	12	-1.0151	0.88214	0.95693	1.0	19089	2	-1.0151
TRIT1	18	1.6305e-07	8.3775e-05	0.048202	34	12	-0.75776	0.1816	0.42319	0.958509	9511	4	-0.75776
CISD1	16	1.7107e-07	8.446e-05	0.048202	35	8	-0.34439	0.3716	0.65532	1.0	13070	5	-0.34439
VPS51	18	1.7798e-07	9.2449e-05	0.051409	36	10	-0.71322	0.8768	0.96311	1.0	19018	3	-0.71322
AP1M1	18	2.4192e-07	0.00010706	0.053995	37	11	-0.95611	0.38574	0.68076	1.0	13284	5	-0.95611
hsa-mir-4316	11	2.612e-07	5.5926e-05	0.040429	38	9	-0.96167	0.99965	0.99913	1.0	20614	0	-0.96167
hsa-mir-6089-2	12	2.8158e-07	8.2862e-05	0.048202	39	10	-0.61542	0.99998	0.99991	1.0	20676	0	-0.61542
OR4F5	18	2.8895e-07	0.00011847	0.058393	40	6	0.26827	0.00055185	0.0084193	0.22619	726	9	0.26827
hsa-mir-3907	11	3.6905e-07	7.8981e-05	0.048202	41	10	-0.89086	0.99972	0.99928	1.0	20620	0	-0.89086
ACTL6B	18	3.7279e-07	0.00014427	0.069527	42	9	-0.24637	0.29585	0.59332	1.0	11829	5	-0.24637
hsa-mir-6769b	12	4.1864e-07	9.5645e-05	0.051856	43	7	-1.0025	0.51464	0.74628	1.0	15002	3	-1.0025
