Virus,siRNA,Replicate,IFNB,HA,NELFB,L32
WT,NTC,1,30.40105453,16.45902309,24.67204669,22.07792715
WT,NTC,1,30.47875203,16.41666045,24.62873727,22.05867233
WT,NTC,2,31.71155852,16.85812709,25.42420686,22.44005323
WT,NTC,2,31.01652486,16.87082495,25.45315494,22.33346239
WT,NTC,3,30.94612694,17.60368844,24.348403,21.98735408
WT,NTC,3,31.32467037,17.64051753,24.37976125,22.03598353
WT,si1,1,27.90185837,14.01340783,27.30822368,22.43988007
WT,si1,1,27.71162135,13.60087668,27.15422833,22.29571431
WT,si1,2,27.47077866,13.97815077,28.12490427,22.32467847
WT,si1,2,27.63902932,13.92432377,28.47324166,22.18716375
WT,si1,3,27.7298264,13.98125275,29.33427351,22.48010415
WT,si1,3,27.65129053,13.91719039,29.09036466,22.39930747
