siRNA,Baloxavir,Replicate,NELFB,IFNB1,HA,L32
NTC,No,1,24.19978328,27.40863028,17.65386082,22.17601229
NTC,No,1,24.16546034,27.41624233,17.67612517,22.1865611
NTC,No,2,23.97424244,27.15386544,17.58580448,22.15079972
NTC,No,2,24.05368301,27.16024743,17.72829422,22.26651667
NTC,No,3,24.00385124,27.29112506,17.98454716,22.34519328
NTC,No,3,24.08068223,27.40370071,17.8544079,22.23736184
NELFB,No,1,29.63655005,28.07575468,16.85304856,22.54960901
NELFB,No,1,29.39327068,28.05213519,17.06913629,22.63463339
NELFB,No,2,29.34157789,27.91053501,17.03512041,22.4597369
NELFB,No,2,29.45877975,27.72742018,17.03179597,22.38884454
NELFB,No,3,29.13184018,27.99953865,17.04447343,22.67033965
NELFB,No,3,29.61539121,28.05014183,17.09228319,22.58531462
NTC,Yes,1,23.62113894,27.56159815,19.99879901,22.03968486
NTC,Yes,1,23.52919203,27.7868729,19.88442062,22.10922823
NTC,Yes,2,23.72267699,27.60975767,20.16227679,22.22018844
NTC,Yes,2,23.70037209,27.6903964,20.15159197,22.23989176
NTC,Yes,3,23.45063786,27.21228446,19.62325391,21.96518944
NTC,Yes,3,23.54084522,27.34240661,19.55478628,22.02369231
NELFB,Yes,1,28.11466472,25.74508563,19.43283021,22.01818086
NELFB,Yes,1,28.29676361,25.79368782,19.58710745,21.89100506
NELFB,Yes,2,27.96734213,25.75589175,19.5743547,22.10828673
NELFB,Yes,2,28.05079749,25.58295376,19.55984217,22.17772991
NELFB,Yes,3,28.74509229,25.87986784,19.36013453,22.24458112
NELFB,Yes,3,28.69278411,26.08132944,19.45687234,22.27842753
